Embed_dim,RMSE,MAE,Precision@10,Recall@10,NDCG@10,Coverage
2,3.17017849252404,2.9751710556073,0.201059602649006,0.128488106481629,0.491488334385475,0.0847135487374423
5,3.07429450381408,2.86353887994522,0.216539735099337,0.148916998077649,0.525533652333933,0.109964702688026
7,3.02370659203708,2.80041985066794,0.217682119205298,0.153092036872566,0.536896333977019,0.131414607656801
10,3.02032861188302,2.79749117693603,0.223129139072847,0.159213574470465,0.539541239145251,0.133858267716535
15,3.00840469196188,2.78499295497112,0.222019867549668,0.160852976547001,0.540360031942729,0.147162639152864
25,3.02581982093923,2.80818127664431,0.220099337748344,0.160169365149786,0.538027439436883,0.1569372793918
40,3.05032043987591,2.83479515524859,0.216026490066225,0.155662972739634,0.533614484148953,0.16644040184632
50,3.05165655700026,2.83390068438734,0.214155629139072,0.156969871169978,0.526540494487066,0.17757263100733
75,3.11200130964665,2.90770107582791,0.208311258278145,0.152591081504388,0.513695562592617,0.187347271246266
100,3.13307318857893,2.93026625897841,0.206622516556291,0.151555554251316,0.510540466442185,0.182188433342383
