Dataset,Method,RMSE,MAE,Precision@10,Recall@10,NDCG@10,Coverage
AmazonArtsCraftsAndSewing,User-CF,"4,34","4,15","0,02","0,09","0,11","0,55"
AmazonArtsCraftsAndSewing,Item-CF,"4,53","4,43","0,01","0,05","0,05","0,71"
AmazonArtsCraftsAndSewing,NMF,"4,51","4,34","0,01","0,04","0,05","0,02"
AmazonArtsCraftsAndSewing,Spectral_cos,"4,54","4,40","0,01","0,04","0,05","0,02"
AmazonArtsCraftsAndSewing,Spectral_KNN,"4,60","4,46","0,00","0,01","0,02","0,01"
AmazonArtsCraftsAndSewing,Hybrid_cos,"4,51","4,35","0,01","0,05","0,06","0,03"
AmazonArtsCraftsAndSewing,Hybrid_KNN,"4,55","4,41","0,01","0,04","0,05","0,02"
AmazonDigitalMusic,User-CF,"4,47","4,36","0,02","0,08","0,10","0,70"
AmazonDigitalMusic,Item-CF,"4,56","4,49","0,01","0,04","0,04","0,63"
AmazonDigitalMusic,NMF,"4,66","4,59","0,01","0,03","0,04","0,07"
AmazonDigitalMusic,Spectral_cos,"4,71","4,64","0,01","0,03","0,03","0,04"
AmazonDigitalMusic,Spectral_KNN,"4,74","4,68","0,00","0,01","0,02","0,03"
AmazonDigitalMusic,Hybrid,"4,67","4,60","0,01","0,04","0,04","0,08"
AmazonDigitalMusic,Hybrid_KNN,"4,71","4,65","0,01","0,03","0,03","0,05"
AmazonVideoGames,User-CF,"4,26","4,08","0,02","0,08","0,08","0,51"
AmazonVideoGames,Item-CF,"4,32","4,15","0,00","0,02","0,02","0,64"
AmazonVideoGames,NMF,"4,30","4,13","0,01","0,04","0,04","0,03"
AmazonVideoGames,Spectral_cos,"4,34","4,17","0,01","0,04","0,04","0,03"
AmazonVideoGames,Spectral_KNN,"4,36","4,19","0,00","0,02","0,02","0,02"
AmazonVideoGames,Hybrid_cos,"4,31","4,14","0,01","0,05","0,05","0,04"
AmazonVideoGames,Hybrid_KNN,"4,33","4,17","0,01","0,04","0,04","0,02"
MovieLens1M,User-CF,"3,19","3,00","0,18","0,11","0,47","0,02"
MovieLens1M,Item-CF,"3,29","3,07","0,00","0,00","0,00","0,10"
MovieLens1M,NMF,"2,74","2,47","0,26","0,17","0,58","0,15"
MovieLens1M,Spectral_cos,"3,01","2,78","0,22","0,16","0,54","0,15"
MovieLens1M,Spectral_KNN,"3,09","2,85","0,20","0,14","0,49","0,12"
MovieLens1M,Hybrid_cos,"2,81","2,57","0,27","0,19","0,59","0,14"
MovieLens1M,Hybrid_KNN,"2,83","2,58","0,27","0,18","0,59","0,14"
